scale,variant,language,mode,n,null_pct,think_pct,novis_pct,drift_pct
0.8B,base,Bangla,all,1800,19.06,0.0,14.44,53.18
0.8B,base,Bangla,bm25,600,21.33,0.0,16.83,51.1
0.8B,base,Bangla,rag,600,23.0,0.0,16.5,53.69
0.8B,base,Bangla,zero,600,12.83,0.0,10.0,54.63
0.8B,base,English,all,1800,8.39,0.0,7.56,
0.8B,base,English,bm25,600,10.67,0.0,10.0,
0.8B,base,English,rag,600,10.33,0.0,9.33,
0.8B,base,English,zero,600,4.17,0.0,3.33,
0.8B,ft,Bangla,all,1800,0.78,2.94,2.94,0.69
0.8B,ft,Bangla,bm25,600,0.17,1.0,1.0,0.0
0.8B,ft,Bangla,rag,600,1.0,3.17,3.17,0.0
0.8B,ft,Bangla,zero,600,1.17,4.67,4.67,2.1
0.8B,ft,English,all,1800,0.22,3.72,3.72,
0.8B,ft,English,bm25,600,0.33,5.17,5.17,
0.8B,ft,English,rag,600,0.33,3.17,3.17,
0.8B,ft,English,zero,600,0.0,2.83,2.83,
2B,base,Bangla,all,1800,26.11,0.0,3.44,43.96
2B,base,Bangla,bm25,600,31.5,0.0,4.33,46.69
2B,base,Bangla,rag,600,34.83,0.0,4.83,46.58
2B,base,Bangla,zero,600,12.0,0.0,1.17,38.79
2B,base,English,all,1800,16.67,0.0,1.17,
2B,base,English,bm25,600,21.33,0.0,1.83,
2B,base,English,rag,600,18.5,0.0,1.0,
2B,base,English,zero,600,10.17,0.0,0.67,
2B,ft,Bangla,all,1800,0.22,0.11,0.28,0.22
2B,ft,Bangla,bm25,600,0.0,0.0,0.0,0.17
2B,ft,Bangla,rag,600,0.5,0.0,0.5,0.0
2B,ft,Bangla,zero,600,0.17,0.33,0.33,0.5
2B,ft,English,all,1800,0.78,30.67,30.72,
2B,ft,English,bm25,600,0.83,34.83,34.83,
2B,ft,English,rag,600,0.17,20.83,20.83,
2B,ft,English,zero,600,1.33,36.33,36.5,
4B,base,Bangla,all,1800,7.56,0.0,1.61,44.72
4B,base,Bangla,bm25,600,7.0,0.0,0.0,46.0
4B,base,Bangla,rag,600,5.83,0.0,0.0,49.0
4B,base,Bangla,zero,600,9.83,0.0,4.83,38.88
4B,base,English,all,1800,5.0,0.0,1.22,
4B,base,English,bm25,600,2.67,0.0,0.33,
4B,base,English,rag,600,4.5,0.0,1.5,
4B,base,English,zero,600,7.83,0.0,1.83,
4B,ft,Bangla,all,1800,2.33,33.11,33.11,0.75
4B,ft,Bangla,bm25,600,0.5,37.33,37.33,0.27
4B,ft,Bangla,rag,600,0.83,47.5,47.5,0.32
4B,ft,Bangla,zero,600,5.67,14.5,14.5,1.36
4B,ft,English,all,1800,0.72,22.83,22.83,
4B,ft,English,bm25,600,0.0,14.33,14.33,
4B,ft,English,rag,600,0.17,14.67,14.67,
4B,ft,English,zero,600,2.0,39.5,39.5,
